2025-04-23 19:44:38.234 INFO  [Thread-15销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-15销售线程CD3数量不足
2025-04-23 19:44:38.234 INFO  [Thread-15销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-15销售线程CD3数量不足，不销售
2025-04-23 19:44:38.234 INFO  [Thread-15销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-15销售线程睡眠时间150
2025-04-23 19:44:38.252 INFO  [Thread-16租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025CD8已借出Thread-16租借线程放弃
2025-04-23 19:44:38.252 INFO  [Thread-16租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-16租借线程睡眠时间191
2025-04-23 19:44:38.276 INFO  [Thread-11销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-11销售线程CD1销售了5剩余3
2025-04-23 19:44:38.276 INFO  [Thread-11销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-11销售线程睡眠时间168
2025-04-23 19:44:38.289 INFO  [Thread-17租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-17租借线程归还cd：CD8
2025-04-23 19:44:38.289 INFO  [Thread-17租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-17租借线程睡眠时间7
2025-04-23 19:44:38.298 INFO  [Thread-17租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025CD5已借出Thread-17租借线程等待中
2025-04-23 19:44:38.310 INFO  [Thread-12销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-12销售线程CD5数量不足
2025-04-23 19:44:38.310 INFO  [Thread-12销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-12销售线程CD5数量不足，不销售
2025-04-23 19:44:38.310 INFO  [Thread-12销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-12销售线程睡眠时间106
2025-04-23 19:44:38.320 INFO  [Thread-17租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025CD5已借出Thread-17租借线程放弃
2025-04-23 19:44:38.320 INFO  [Thread-17租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-17租借线程睡眠时间190
2025-04-23 19:44:38.355 INFO  [Thread-20租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-20租借线程归还cd：CD6
2025-04-23 19:44:38.355 INFO  [Thread-20租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-20租借线程睡眠时间190
2025-04-23 19:44:38.367 INFO  [Thread-13销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-13销售线程CD2销售了0剩余8
2025-04-23 19:44:38.367 INFO  [Thread-13销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-13销售线程睡眠时间68
2025-04-23 19:44:38.379 INFO  [Thread-18租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-18租借线程租到了cd：CD6持有284ms
2025-04-23 19:44:38.385 INFO  [Thread-15销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-15销售线程CD1销售了0剩余3
2025-04-23 19:44:38.385 INFO  [Thread-15销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-15销售线程睡眠时间59
2025-04-23 19:44:38.412 INFO  [Thread-19租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-19租借线程归还cd：CD5
2025-04-23 19:44:38.412 INFO  [Thread-19租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-19租借线程睡眠时间198
2025-04-23 19:44:38.418 INFO  [Thread-12销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-12销售线程CD1销售了3剩余0
2025-04-23 19:44:38.418 INFO  [Thread-12销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-12销售线程睡眠时间129
2025-04-23 19:44:38.427 INFO  [Thread-14销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-14销售线程CD1数量不足
2025-04-23 19:44:38.427 INFO  [Thread-14销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-14销售线程CD1数量不足，不销售
2025-04-23 19:44:38.427 INFO  [Thread-14销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-14销售线程睡眠时间47
2025-04-23 19:44:38.437 INFO  [Thread-13销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-13销售线程CD9销售了0剩余0
2025-04-23 19:44:38.437 INFO  [Thread-13销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-13销售线程睡眠时间92
2025-04-23 19:44:38.444 INFO  [Thread-16租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-16租借线程租到了cd：CD10持有244ms
2025-04-23 19:44:38.445 INFO  [Thread-11销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-11销售线程CD0销售了0剩余6
2025-04-23 19:44:38.445 INFO  [Thread-15销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-15销售线程CD5数量不足
2025-04-23 19:44:38.445 INFO  [Thread-15销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-15销售线程CD5数量不足，不销售
2025-04-23 19:44:38.445 INFO  [Thread-11销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-11销售线程睡眠时间96
2025-04-23 19:44:38.445 INFO  [Thread-15销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-15销售线程睡眠时间124
2025-04-23 19:44:38.475 INFO  [Thread-14销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-14销售线程CD1数量不足
2025-04-23 19:44:38.475 INFO  [Thread-14销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-14销售线程CD1数量不足，不销售
